Продукты	Несъедобная часть %	Белки г	Жиры г	Усвояемые углеводы г	Минеральные вещества, мг						Витамины, мг						Энерго-ценность, ккал
					Натрий	Калий	Кальций	Магний	Фосфор	Железо	Каротин	А	В1	В2	РР	С	
**МУКА,КРУПЫ,МАКАРОНЫ,БОБОВЫЕ**																	
Сметана 20% жирности	0	2,8	20	3,2	35	109	86	8	60	0,2	0,06	0,15	0,03	0,11	0,1	0,3	206
Творог жирный	0	14	18	2,8	41	112	150	23	216	0,4	0,06	0,1	0,05	0,3	0,3	0,5	232
Творог полужирный	0	16,7	9	2	41	112	164	23	220	0,4	0,03	0,05	0,04	0,27	0,4	0,5	159
Творог нежирный	0	18	0,6	1,8	44	117	120	24	189	0,3	Сл.	0,01	0,04	0,25	0,45	0,5	88
Сырки творожные детские	0	9,1	23	18,5	41	112	135	23	200	0,4	0,06	0,1	0,03	0,3	0,3	0,5	315
Кефир жирный	0	2,8	3,2	4,1	50	146	120	14	95	0,1	0,01	0,02	0,03	0,17	0,14	0,7	56
Кефир нежирный	0	3	0,05	3,8	52	152	126	15	95	0,1	Сл.	Сл.	0,04	0,17	0,14	0,7	30
Кефир таллинский	0	4,3	1	5,3	70	200	170	21	133	0,1	Сл.	Сл.	0,04	0,17	0,14	0,7	49
Ацидофилин	0	2,8	3,2	3,8	53	145	120	15	98	0,1	0,01	0,02	0,04	0,16	0,13	0,8	57
Простокваша обыкновенная	0	2,8	3,2	4,1	51	144	118	16	96	0,1	0,01	0,02	0,03	0,13	0,14	0,8	58
Йогурт 1,5% жирности, сладкий	0	5	1,5	8,5	50	150	124	15	95	0,1	Сл.	0,01	0,03	0,15	0,15	0,6	70
Ряженка 6% жирности	0	3	6	4,1	50	146	124	14	92	0,1	0,02	0,04	0,02	0,13	0,14	0,3	84
Кумыс	0	2	1,9	5	34	77	94	25	60	0,1	0,01	0,03	0,02	0,04	0,09	9	48
Молоко сухое цельное	0	26	25	37,5	400	1200	1000	119	790	0,5	0,1	0,13	0,27	1,3	0,7	4	476
Молоко сгущенное стерилизованное	0	7	8,3	9,5	124	318	282	30	224	0,2	0,03	0,04	0,06	0,2	0,2	1,2	140
Молоко сгущенное с сахаром	0	7,2	8,5	56	130	365	307	34	219	0,2	0,04	0,04	0,06	0,38	0,2	1	320
