Продукты	Несъедобная часть %	Белки г	Жиры г	Усвояемые углеводы г	Минеральные вещества, мг						Витамины, мг						Энерго-ценность, ккал
					Натрий	Калий	Кальций	Магний	Фосфор	Железо	Каротин	А	В1	В2	РР	С	
**МУКА,КРУПЫ,МАКАРОНЫ,БОБОВЫЕ**																	
Перец зеленый сладкий	25	1,3	---	5,3	19	163	8	4	16	0,8	1	0	0,06	0,1	0,6	150	26
Петрушка (зелень)	20	3,7	0,4	8	79	340	245	85	95	1,9	5,7	0	0,05	0,05	0,7	150	49
Ревень (черешки)	25	0,7	0,1	2,5	35	325	44	17	25	0,6	0,06	0	0,01	0,06	0,1	10	16
Репа	20	1,5	Сл.	5,3	58	238	49	17	34	0,9	0,1	0	0,05	0,04	0,8	20	27
Редис	20	1,2	0,1	3,8	10	255	39	13	44	1	Сл.	0	0,01	0,04	0,1	25	21
Салат	20	1,5	0,2	2,3	8	220	77	40	34	0,6	1,75	0	0,03	0,08	0,65	15	17
Свекла	20	1,5	0,1	9,1	86	288	37	22	43	1,4	0,01	0	0,02	0,04	0,2	10	42
Томаты грунтовые	5	1,1	0,2	3,8	40	290	14	20	26	0,9	1,2	0	0,06	0,04	0,53	25	23
Чеснок	15	6,5	---	5,2	80	260	60	30	100	1,5	Сл.	0	0,08	0,08	1,2	10	46
Щавель	20	1,5	---	3	15	500	47	85	90	2	2,5	0	0,19	0,1	0,3	43	19
Шпинат	26	2,9	0,3	2	62	774	106	82	83	3,5	4,5	0	0,1	0,25	0,6	55	22
Грибы белые свежие	24	3,7	1,7	1,1	6	468	27	15	89	5,2	---	0	0,04	0,3	5	30	23
Консервы овощные - горошек зеленый	0	3,1	0,2	6,5	360	99	20	21	62	0,7	0,3	0	0,11	0,05	0,7	10	40
Консервы овощные - свекла натуральная	0	1,2	0	6,9	480	288	15	16	29	0,6	Сл.	0	0,01	0,03	0,2	4	31
Консервы овощные - томаты с кожицей	0	1,1	0	3,8	480	260	10	15	35	0,8	1	0	0,01	0,02	0,4	15	20
Консервы овощные - перец, фаршированный овощами	0	1,7	6,6	11,3	700	173	62	33	47	5,6	4	0	0,05	0,1	0,95	20	109
Консервы овощные - икра из баклажан	0	1,7	13,3	5,1	610	305	43	15	31	0,7	0,92	0	0,03	0,06	0,49	7	148
Консервы овощные - икра из кабачков	0	2	9	8,5	700	315	41	15	37	0,7	0,92	0	0,02	0,05	0,36	7	122
Томатный сок	0	1	0	3,5	3	240	7	12	32	0,7	0,5	0	0,03	0,03	0,3	10	19
